id,map,round,seconds,att_side,vic_side,hp_dmg,arm_dmg,wp,wp_type,award
16280,de_dust2,1,96.13955,Terrorist,CounterTerrorist,10,5,Glock,Pistol,300
16281,de_dust2,1,102.0154,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
16282,de_dust2,1,102.2342,CounterTerrorist,Terrorist,35,0,USP,Pistol,300
16283,de_dust2,1,102.3905,CounterTerrorist,Terrorist,13,6,USP,Pistol,300
16284,de_dust2,1,105.3597,Terrorist,CounterTerrorist,10,5,Glock,Pistol,300
16285,de_dust2,1,105.4535,CounterTerrorist,Terrorist,21,0,USP,Pistol,300
16286,de_dust2,1,106.7974,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
16287,de_dust2,1,106.9849,CounterTerrorist,Terrorist,16,7,USP,Pistol,300
16288,de_dust2,1,107.0474,CounterTerrorist,Terrorist,16,8,USP,Pistol,300
16289,de_dust2,1,107.3913,Terrorist,CounterTerrorist,90,0,Glock,Pistol,300
16290,de_dust2,1,107.4538,Terrorist,CounterTerrorist,18,0,Glock,Pistol,300
16291,de_dust2,1,107.485,CounterTerrorist,Terrorist,16,7,USP,Pistol,300
16292,de_dust2,1,107.7351,CounterTerrorist,Terrorist,16,8,USP,Pistol,300
16293,de_dust2,1,107.9538,CounterTerrorist,Terrorist,13,6,USP,Pistol,300
16294,de_dust2,1,107.9538,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
16295,de_dust2,1,108.0163,CounterTerrorist,Terrorist,16,7,USP,Pistol,300
16296,de_dust2,1,108.2976,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
16297,de_dust2,1,108.7977,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
16298,de_dust2,1,109.1415,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
7631,de_dust2,1,109.6683,CounterTerrorist,Terrorist,9,4,USP,Pistol,300
16299,de_dust2,1,109.7354,CounterTerrorist,Terrorist,20,9,USP,Pistol,300
16300,de_dust2,1,109.8291,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
16301,de_dust2,1,110.0479,CounterTerrorist,Terrorist,16,7,USP,Pistol,300
16302,de_dust2,1,110.2042,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
16303,de_dust2,1,110.4542,Terrorist,CounterTerrorist,5,6,Glock,Pistol,300
7632,de_dust2,1,111.0122,CounterTerrorist,Terrorist,9,4,USP,Pistol,300
7633,de_dust2,1,112.1373,CounterTerrorist,Terrorist,9,4,USP,Pistol,300
17032,de_inferno,1,112.3577,CounterTerrorist,Terrorist,1,0,HE,Grenade,300
17033,de_inferno,1,112.5765,Terrorist,CounterTerrorist,28,0,Glock,Pistol,300
33177,de_dust2,1,112.706,CounterTerrorist,Terrorist,20,0,P2000,Pistol,300
7634,de_dust2,1,113.7,Terrorist,CounterTerrorist,10,5,Glock,Pistol,300
17034,de_inferno,1,113.9521,CounterTerrorist,Terrorist,28,0,FiveSeven,Pistol,300
34674,de_inferno,1,114.093,Terrorist,CounterTerrorist,4,2,Glock,Pistol,300
34675,de_inferno,1,114.3743,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
34676,de_inferno,1,114.3743,CounterTerrorist,Terrorist,16,7,USP,Pistol,300
34677,de_inferno,1,114.6244,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
34678,de_inferno,1,114.7182,CounterTerrorist,Terrorist,12,6,USP,Pistol,300
4269,de_mirage,1,115.953,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
4270,de_mirage,1,115.9842,Terrorist,CounterTerrorist,15,8,Glock,Pistol,300
4271,de_mirage,1,116.1405,Terrorist,CounterTerrorist,85,0,Glock,Pistol,300
17035,de_inferno,1,116.7657,CounterTerrorist,Terrorist,52,0,HE,Grenade,300
28837,de_dust,1,116.7725,CounterTerrorist,Terrorist,16,7,USP,Pistol,300
34679,de_inferno,1,116.9375,CounterTerrorist,Terrorist,14,7,USP,Pistol,300
28838,de_dust,1,116.9913,Terrorist,Terrorist,8,0,Glock,Pistol,300
16304,de_dust2,1,117.6428,Terrorist,Terrorist,4,2,Glock,Pistol,300
28839,de_dust,1,117.6791,Terrorist,CounterTerrorist,29,0,Tec9,Pistol,300
28840,de_dust,1,118.0543,Terrorist,CounterTerrorist,26,0,Glock,Pistol,300
28841,de_dust,1,118.0543,Terrorist,CounterTerrorist,28,0,Tec9,Pistol,300
28842,de_dust,1,118.2732,Terrorist,CounterTerrorist,17,0,Tec9,Pistol,300
32264,de_dust2,1,118.8307,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
34680,de_inferno,1,119.1256,Terrorist,CounterTerrorist,10,5,Glock,Pistol,300
7635,de_dust2,1,119.3256,Terrorist,CounterTerrorist,12,7,Glock,Pistol,300
33178,de_dust2,1,119.4571,Terrorist,CounterTerrorist,9,5,Glock,Pistol,300
7636,de_dust2,1,119.6694,Terrorist,CounterTerrorist,10,5,Glock,Pistol,300
33179,de_dust2,1,119.7384,CounterTerrorist,Terrorist,100,0,P2000,Pistol,300
7637,de_dust2,1,119.7944,Terrorist,CounterTerrorist,10,5,Glock,Pistol,300
16305,de_dust2,1,119.8619,Terrorist,CounterTerrorist,95,0,Glock,Pistol,300
12184,de_dust2,1,119.9173,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
28843,de_dust,1,120.6805,CounterTerrorist,Terrorist,39,0,P250,Pistol,300
16306,de_dust2,1,120.737,Terrorist,CounterTerrorist,5,0,Glock,Pistol,300
28844,de_dust,1,120.8368,CounterTerrorist,Terrorist,31,0,P250,Pistol,300
28845,de_dust,1,121.0557,Terrorist,CounterTerrorist,20,0,Glock,Pistol,300
28846,de_dust,1,121.4309,Terrorist,CounterTerrorist,26,0,Glock,Pistol,300
1318,de_inferno,1,121.4771,Terrorist,CounterTerrorist,20,0,Tec9,Pistol,300
28847,de_dust,1,121.4934,Terrorist,CounterTerrorist,54,0,Glock,Pistol,300
1319,de_inferno,1,121.6021,Terrorist,CounterTerrorist,25,1,Tec9,Pistol,300
1320,de_inferno,1,121.7272,Terrorist,CounterTerrorist,25,1,Tec9,Pistol,300
1321,de_inferno,1,121.8209,Terrorist,CounterTerrorist,11,6,Glock,Pistol,300
16307,de_dust2,1,121.956,Terrorist,CounterTerrorist,28,0,Glock,Pistol,300
1322,de_inferno,1,122.0085,Terrorist,CounterTerrorist,25,1,Tec9,Pistol,300
1323,de_inferno,1,122.1023,Terrorist,CounterTerrorist,5,1,Tec9,Pistol,300
35448,de_dust2,1,122.2974,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
16308,de_dust2,1,122.4248,Terrorist,CounterTerrorist,23,0,Glock,Pistol,300
1324,de_inferno,1,122.4462,CounterTerrorist,Terrorist,15,7,USP,Pistol,300
17036,de_inferno,1,122.4867,CounterTerrorist,Terrorist,38,0,USP,Pistol,300
1325,de_inferno,1,122.5399,CounterTerrorist,Terrorist,85,0,USP,Pistol,300
7638,de_dust2,1,122.6072,Terrorist,CounterTerrorist,13,7,Glock,Pistol,300
17037,de_inferno,1,122.7368,Terrorist,CounterTerrorist,25,0,Glock,Pistol,300
5387,de_mirage,1,123.1471,Terrorist,CounterTerrorist,85,0,Glock,Pistol,300
17038,de_inferno,1,123.1745,CounterTerrorist,Terrorist,19,0,USP,Pistol,300
34681,de_inferno,1,123.1892,CounterTerrorist,Terrorist,18,9,USP,Pistol,300
16309,de_dust2,1,123.2374,Terrorist,CounterTerrorist,29,0,Glock,Pistol,300
34682,de_inferno,1,123.3455,Terrorist,CounterTerrorist,75,0,Glock,Pistol,300
7639,de_dust2,1,123.3885,CounterTerrorist,Terrorist,17,8,USP,Pistol,300
16310,de_dust2,1,123.4249,CounterTerrorist,Terrorist,3,7,USP,Pistol,300
5388,de_mirage,1,123.4597,Terrorist,CounterTerrorist,15,0,Glock,Pistol,300
16311,de_dust2,1,123.5187,Terrorist,CounterTerrorist,20,0,Glock,Pistol,300
7640,de_dust2,1,123.6386,Terrorist,CounterTerrorist,87,0,Glock,Pistol,300
1326,de_inferno,1,123.8529,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
17039,de_inferno,1,123.8623,CounterTerrorist,Terrorist,16,8,USP,Pistol,300
34683,de_inferno,1,124.0019,CounterTerrorist,Terrorist,12,0,USP,Pistol,300
17040,de_inferno,1,124.0186,CounterTerrorist,Terrorist,16,8,USP,Pistol,300
1327,de_inferno,1,124.0717,CounterTerrorist,Terrorist,100,0,USP,Pistol,300
1328,de_inferno,1,124.1342,Terrorist,CounterTerrorist,26,0,Glock,Pistol,300
17041,de_inferno,1,124.1437,CounterTerrorist,Terrorist,26,1,FiveSeven,Pistol,300
17042,de_inferno,1,124.2374,Terrorist,CounterTerrorist,75,0,Glock,Pistol,300
17043,de_inferno,1,124.425,Terrorist,CounterTerrorist,12,6,Glock,Pistol,300
17044,de_inferno,1,124.6126,CounterTerrorist,Terrorist,16,8,USP,Pistol,300
1329,de_inferno,1,124.6969,Terrorist,CounterTerrorist,26,0,Glock,Pistol,300
17045,de_inferno,1,124.7689,Terrorist,CounterTerrorist,12,6,Glock,Pistol,300
